;Fecha;Provincia;Viajeros;Comunidad;Viajeros_normalizado
523;2005-10-01;Girona;11241.0;Cataluna;0.07749901755982544
525;2005-10-01;Granada;7836.0;Andalucia;0.17646264018375896
527;2005-10-01;Guipuzcoa;128.0;Pais Vasco;0.00920532182668105
529;2005-10-01;Huelva;2697.0;Andalucia;0.08619918179493735
531;2005-10-01;Huesca;1168.0;Aragon;0.07337605226787285
533;2005-10-01;Islas Baleares;109244.0;Islas Baleares;0.3334198085134306
535;2005-10-01;Jaen;4118.0;Andalucia;0.3932766688950435
537;2005-10-01;La Rioja;610.0;La Rioja;0.03957184560493026
539;2005-10-01;Las Palmas;267472.0;Canarias;0.8165064518393924
541;2005-10-01;Lleida;1103.0;Cataluna;0.13910959767940473
543;2005-10-01;Lugo;849.0;Galicia;0.05320215565860383
545;2005-10-01;Madrid;23984.0;Comunidad de Madrid;0.31874119554527813
547;2005-10-01;Malaga;38181.0;Andalucia;0.2141330865651552
549;2005-10-01;Murcia;2947.0;Region de Murcia;0.08984756097560975
551;2005-10-01;Navarra;2613.0;Navarra;0.09785417368834963
553;2005-10-01;Santa Cruz de Tenerife;122449.0;Canarias;0.842175850779939
555;2005-10-01;Sevilla;4983.0;Andalucia;0.08218296966998169
557;2005-10-01;Tarragona;13406.0;Cataluna;0.16308804029148063
559;2005-10-01;Valencia;2866.0;Valencia;0.03912841656882287
561;2005-11-01;A Coruna;366.0;Galicia;0.02085351262036351
563;2005-11-01;Alicante;25203.0;Valencia;0.10427216760996921
565;2005-11-01;Almeria;3450.0;Andalucia;0.0641097112275616
567;2005-11-01;Asturias;1284.0;Principado de Asturias;0.04899454344259167
569;2005-11-01;Barcelona;6832.0;Cataluna;0.16735663718981947
571;2005-11-01;Cadiz;902.0;Andalucia;0.014897517630931343
573;2005-11-01;Cantabria;1249.0;Cantabria;0.041158637052659326
575;2005-11-01;Castellon;3710.0;Valencia;0.04022072614130376
577;2005-11-01;Cordoba;688.0;Andalucia;0.06421504573455292
579;2005-11-01;Girona;3259.0;Cataluna;0.022468579150206485
581;2005-11-01;Granada;7145.0;Andalucia;0.1609016799531595
583;2005-11-01;Guipuzcoa;86.0;Pais Vasco;0.00618482560230133
585;2005-11-01;Huelva;1588.0;Andalucia;0.05075428279212477
587;2005-11-01;Huesca;584.0;Aragon;0.03668802613393642
